"country","year","vote_share_cab","vote_share_cab_tmin1","satislfe_survey_mean","parties_ingov","seatshare_cabinet","cab_ideol_sd","ENEP_tmin1"
"DEU",1990,54.9000015258789,53.4000015258789,3.14749264717102,3,0.541247487068176,0.712019860744476,3.55999994277954
"DEU",1994,48.4000015258789,54.9000015258789,3.03116154670715,3,0.601208448410034,0.712019860744476,3.75
"DEU",1998,41.2999992370605,48.4000015258789,2.92447137832642,3,0.507440447807312,0.712019860744476,3.75
"DEU",2002,47.0999984741211,47.5999984741211,3.03128147125244,2,0.515695035457611,0.505086362361908,3.77999997138977
"DEU",2005,42.2999992370605,47.0999984741211,3.06627106666565,2,0.507462680339813,0.505086362361908,4.09000015258789
"DEU",2009,56.7999992370605,69.4000015258789,3.08782434463501,3,0.729641675949097,1.87644100189209,4.46000003814697
"DEU",2013,46.2999992370605,48.4000015258789,3.17231369018555,3,0.533762097358704,0.712019860744476,5.57999992370605
"FIN",1999,67.1999969482422,69,3.10854935646057,5,0.719999969005585,2.12309193611145,5.82000017166138
"FIN",2003,57.5999984741211,59.9000015258789,3.14711737632751,4,0.639999985694885,2.37214350700378,5.92999982833862
"FIN",2007,49.0999984741211,53.7999992370605,3.27300000190735,3,0.579999983310699,1.49402701854706,5.65000009536743
"FIN",2011,47.7999992370605,58.5,3.229083776474,4,0.625,1.53529369831085,5.88000011444092
"GBR",1974,38,46.4000015258789,3.15408635139465,1,0.523809552192688,0,2.46000003814697
"GBR",1974,39.2000007629395,37.2000007629395,3.15408635139465,1,0.474015742540359,0,3.13000011444092
"GBR",1979,36.9000015258789,39.2000007629395,3.09343934059143,1,0.502362191677094,0,3.15000009536743
"GBR",1983,42.4000015258789,43.9000015258789,3.13013696670532,1,0.533858239650726,0,2.86999988555908
"GBR",1987,42.2999992370605,42.4000015258789,3.12744092941284,1,0.610769212245941,0,3.46000003814697
"GBR",1992,41.9000015258789,42.2999992370605,3.17123937606812,1,0.578461527824402,0,3.32999992370605
"GBR",1997,30.7000007629395,41.9000015258789,3.13084101676941,1,0.516129016876221,0,3.05999994277954
"GBR",2001,40.7000007629395,43.2000007629395,3.14579248428345,1,0.635811865329742,0,3.22000002861023
"GBR",2005,35.2000007629395,40.7000007629395,3.37917852401733,1,0.625189661979675,0,3.32999992370605
"GBR",2010,29,35.2000007629395,3.33562994003296,1,0.549535632133484,0,3.58999991416931
"IRL",1977,42.1199989318848,48.7900009155273,3.21471166610718,2,0.506944417953491,1.98838424682617,2.80999994277954
"IRL",1981,45.2599983215332,50.6300010681152,3.14343023300171,1,0.567567586898804,0,2.75
"IRL",1982,46.4199981689453,46.3499984741211,3.14343023300171,2,0.48192772269249,1.98838424682617,2.86999988555908
"IRL",1982,45.2000007629395,47.2599983215332,3.15920400619507,1,0.487951815128326,0,2.69000005722046
"IRL",1987,33.5200004577637,48.5800018310547,2.98099994659424,2,0.518072247505188,1.98838424682617,2.72000002861023
"IRL",1989,44.1500015258789,44.1500015258789,3.06393599510193,1,0.487951815128326,0,3.47000002861023
"IRL",1992,43.7900009155273,49.6399993896484,3.16400003433228,2,0.5,1.37150430679321,3.38000011444092
"IRL",1997,40.8600006103516,46.560001373291,3.33500504493713,3,0.493975907564163,2.29525279998779,3.94000005722046
"IRL",2002,45.439998626709,44.0099983215332,3.19282054901123,2,0.487951815128326,1.37150430679321,4.03000020980835
"IRL",2007,44.2900009155273,45.439998626709,3.2502543926239,2,0.536144614219666,1.37150430679321,4.13000011444092
"IRL",2011,19.2999992370605,46.25,3.09428286552429,2,0.515151500701904,2.57125234603882,3.76999998092651
"ITA",1976,38.7000007629395,38.7000007629395,2.5421245098114,1,0.422222226858139,0,4.07999992370605
"ITA",1979,45.1300010681152,45.189998626709,2.5652174949646,3,0.461904764175415,0.529475629329681,3.52999997138977
"ITA",1983,51.2900009155273,53.7999992370605,2.69679307937622,4,0.56031745672226,1.17296087741852,3.91000008583069
"ITA",1987,34.2999992370605,32.9000015258789,2.79047608375549,1,0.357142865657806,0,4.51999998092651
"ITA",1992,48.9000015258789,53.7000007629395,2.94957971572876,4,0.565079391002655,1.17296087741852,4.61999988555908
"ITA",2001,43.1500015258789,34.939998626709,2.8914806842804,4,0.468253999948502,0.946815073490143,7.17000007629395
"ITA",2006,46.8699989318848,45.5699996948242,2.87449789047241,4,0.574712634086609,0.87771737575531,6.32000017166138
"ITA",2008,41.6500015258789,47.7000007629395,2.78592085838318,3,0.534920632839203,1.99864184856415,5.69000005722046
"PRT",1987,51.3400001525879,30.6399993896484,2.62804889678955,1,0.351999998092651,0,4.78000020980835
"PRT",1991,51.5999984741211,51.3400001525879,2.73119354248047,1,0.592000007629395,0,2.98000001907349
"PRT",1995,34.7799987792969,51.5999984741211,2.55867600440979,1,0.58695650100708,0,2.78999996185303
"PRT",1999,44.9599990844727,44.6100006103516,2.55130791664124,1,0.486956506967545,0,2.97000002861023
"PRT",2002,38.5499992370605,44.9599990844727,2.6409227848053,1,0.5,0,3.13000011444092
"PRT",2005,37.0999984741211,49.9099998474121,2.78867554664612,2,0.517391324043274,1.22138559818268,3.02999997138977
"PRT",2009,37.7299995422363,46.4000015258789,2.39741039276123,1,0.526086986064911,0,3.13000011444092
"PRT",2011,29.2399997711182,37.7299995422363,2.337153673172,1,0.421739131212234,0,3.82999992370605
"SWE",1998,36.3800010681152,45.2999992370605,3.2910521030426,1,0.461318045854568,0,3.65000009536743
"SWE",2002,39.9000015258789,36.3800010681152,3.31726908683777,1,0.375358164310455,0,4.55000019073486
"SWE",2006,35.2000007629395,39.9000015258789,3.39250493049622,1,0.412607461214066,0,4.51000022888184
"SWE",2010,49.2799987792969,48.0999984741211,3.47472739219666,4,0.510028660297394,0.928861677646637,4.65999984741211
"SWE",2014,39.4300003051758,49.2799987792969,3.41754055023193,4,0.495701998472214,0.928861677646637,4.78999996185303
